Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN
resetPassword,"form[id=""gigya-reset-password-form""] div h2",h2,resetPassword,,isInitialization ,,Reset password
resetPassword_Btn,"input[value=""Reset password""]",button,resetPassword,,,,Reset password
enterEmailText,input[placeholder='Enter your email address *'],input,resetPassword,,,,Enter your email address *
backToLogin,"a[title=""Back to login""]",a,resetPassword,,,login.page,Back to login
emailWarningText,span[role='alert'],h1,warningMessagee,,,,This field is required
